,City,Country,Latitude,Longitude,Temp,Humidity,Cloudiness,Wind Speed
0,Hilo,US,19.73,-155.09,74.21,78,90,9.55
1,Hermanus,ZA,-34.42,19.23,55.0,91,16,3.0
2,Constitución,CL,-35.33,-72.42,51.91,88,14,7.47
3,Hamilton,US,39.18,-84.53,74.03,88,1,8.05
4,Bathsheba,BB,13.22,-59.52,82.4,74,40,13.87
5,São João da Barra,BR,-21.64,-41.05,70.72,87,49,10.6
6,Upernavik,GL,72.79,-56.15,48.69,56,17,6.49
7,Thompson,CA,55.74,-97.86,62.6,72,75,3.36
8,Mana,GF,5.66,-53.78,77.23,84,100,7.56
9,Antalaha,MG,-14.9,50.28,67.15,83,24,9.55
10,Mataura,NZ,-46.19,168.86,48.18,82,100,2.75
11,Pangai,TO,-19.8,-174.35,73.4,83,75,10.29
12,Bengkulu,ID,-3.8,102.27,85.98,64,0,6.78
13,Severo-Kuril'sk,RU,50.68,156.12,53.26,80,64,14.14
14,Longyearbyen,SJ,78.22,15.64,44.6,87,75,11.41
15,Kiryat Gat,IL,31.61,34.76,72.36,82,0,2.1
16,Saskylakh,RU,71.92,114.08,62.42,49,69,11.25
17,Rikitea,PF,-23.12,-134.97,68.88,58,1,11.81
18,Kailua,US,21.4,-157.74,80.31,69,40,14.99
19,Pevek,RU,69.7,170.31,49.87,54,0,6.53
20,Verāval,IN,20.9,70.37,84.99,76,68,14.23
21,Barrow,US,71.29,-156.79,37.4,86,90,14.99
22,Saint-Philippe,RE,-21.36,55.77,57.96,72,75,9.17
23,Petauke,ZM,-14.24,31.33,55.15,85,6,12.39
24,Minna,NG,9.61,6.56,69.44,97,23,2.53
25,Busselton,AU,-33.65,115.33,59.18,49,0,10.58
26,Ballina,AU,-28.87,153.57,71.6,43,0,10.29
27,Sitka,US,57.05,-135.33,57.2,93,90,3.36
28,San Cristobal,VE,7.77,-72.22,65.48,89,71,3.6
29,Port-Gentil,GA,-0.72,8.78,74.19,81,100,11.48
30,Kahului,US,20.89,-156.47,78.31,51,40,23.04
31,Berlevåg,NO,70.86,29.09,51.06,90,100,3.6
32,Dingle,PH,11.0,122.67,88.14,65,92,6.62
33,Honiara,SB,-9.43,159.95,86.0,74,75,5.82
34,Punta Arenas,CL,-53.15,-70.92,33.39,80,97,8.05
35,Castro,BR,-24.79,-50.01,54.12,91,0,3.6
36,Lavrentiya,RU,65.58,-171.0,47.77,74,100,9.91
